partition,scene,frame,vc
N5K,2,11,0.149772
N5K,2,12,0.220160
N5K,2,13,0.181685
N5K,2,14,0.224117
N5K,2,15,0.146022
N5K,2,16,0.656858
N5K,2,17,0.159481
N5K,2,18,0.185088
N5K,2,19,0.204489
N5K,2,20,0.216787
N5K,2,21,0.084819
N5K,2,22,0.162226
N5K,2,23,0.102836
N5K,2,24,0.092758
N5K,2,25,0.145870
N5K,2,26,0.182983
N5K,2,27,0.097058
N5K,2,28,0.171585
N5K,2,29,0.208947
N5K,2,30,0.182187
N5K,2,31,0.679265
N5K,2,32,0.148229
N5K,2,33,0.152697
N5K,2,34,0.142208
N5K,2,35,0.156358
N5K,2,36,0.104885
N5K,2,37,0.160939
N5K,2,38,0.143515
N5K,2,39,0.168336
N5K,2,40,0.163333
N5K,2,41,0.143815
N5K,2,42,0.156302
N5K,2,43,0.190251
N5K,2,44,0.146889
N5K,2,45,0.826460
N5K,2,46,0.098289
N5K,2,47,0.147836
N5K,2,48,0.130660
N5K,2,49,0.103814
N5K,2,50,0.144915
N5K,2,51,0.142174
N5K,2,52,0.152053
N5K,2,53,0.127241
N5K,2,54,0.152875
N5K,2,55,0.170158
N5K,2,56,0.102279
N5K,2,57,0.190492
N5K,2,58,0.131445
N5K,2,59,0.173558
N5K,2,60,0.095492
N5K,7,0,
N5K,7,1,0.157217
N5K,7,2,0.174103
N5K,7,3,0.088884
N5K,7,4,0.149689
N5K,7,5,0.169836
N5K,7,6,0.096882
N5K,7,7,0.054516
N5K,7,8,0.185115
N5K,7,9,0.114389
N5K,7,10,0.084841
N5K,7,11,0.158304
N5K,7,12,0.204436
N5K,7,13,0.073172
N5K,7,14,0.158415
N5K,7,15,0.240410
N5K,7,16,0.225616
N5K,7,17,0.464463
N5K,7,18,0.110995
N5K,7,19,0.147889
N5K,7,20,0.172084
N5K,7,21,0.228208
N5K,7,22,0.062748
N5K,7,23,0.188733
N5K,7,24,0.131502
N5K,7,25,0.237058
N5K,7,26,0.221626
N5K,7,27,0.090641
N5K,7,28,0.164848
N5K,7,29,0.247083
N5K,7,30,0.214569
N5K,7,31,0.503618
N5K,7,32,0.132194
N5K,7,33,0.209571
N5K,7,34,0.246110
N5K,7,35,0.250526
N5K,7,36,0.178165
N5K,7,37,0.126166
N5K,7,38,0.241345
N5K,7,39,0.170466
N5K,7,40,0.105224
N5K,7,41,0.187734
N5K,7,42,0.280004
N5K,7,43,0.104318
N5K,7,44,0.135927
N5K,7,45,0.247250
N5K,7,46,0.248559
N5K,7,47,0.946049
N5K,7,48,0.149511
N5K,7,49,0.179937
N5K,7,50,0.098529
N5K,7,51,0.182016
N5K,7,52,0.231727
N5K,7,53,0.210650
N5K,7,54,0.165024
N5K,7,55,0.190567
N5K,7,56,0.223699
N5K,7,57,0.160621
N5K,7,58,0.222143
N5K,7,59,0.186789
N5K,3,0,
N5K,3,1,0.165982
N5K,3,2,0.211168
N5K,3,3,0.215718
N5K,3,4,0.199583
N5K,3,5,0.146533
N5K,3,6,0.083550
N5K,3,7,0.217376
N5K,3,8,0.146939
N5K,3,9,0.125763
N5K,3,10,0.194752
N5K,3,11,0.231586
N5K,3,12,0.109698
N5K,3,13,0.209550
N5K,3,14,0.254091
N5K,3,15,0.250665
N5K,3,16,0.044853
N5K,3,17,0.583818
N5K,3,18,0.121780
N5K,3,19,0.126785
N5K,3,20,0.151519
N5K,3,21,0.149190
N5K,3,22,0.079566
N5K,3,23,0.188444
N5K,3,24,0.088672
N5K,3,25,0.088528
N5K,3,26,0.154246
N5K,3,27,0.173853
N5K,3,28,0.095297
N5K,3,29,0.153784
N5K,3,30,0.226933
N5K,3,31,0.203137
N5K,3,32,0.766752
N5K,3,33,0.209401
N5K,3,34,0.124851
N5K,3,35,0.107977
N5K,3,36,0.176277
N5K,3,37,0.195363
N5K,3,38,0.077748
N5K,3,39,0.260613
N5K,3,40,0.190436
N5K,3,41,0.230253
N5K,3,42,0.172098
N5K,3,43,0.197694
N5K,3,44,0.200418
N5K,3,45,0.239939
N5K,3,46,0.168364
N5K,3,47,0.891027
N5K,3,48,0.145845
N5K,3,49,0.182003
N5K,3,50,0.107867
N5K,3,51,0.156186
N5K,3,52,0.175254
N5K,3,53,0.122928
N5K,3,54,0.187454
N5K,3,55,0.113394
N5K,3,56,0.093410
N5K,3,57,0.152671
N5K,3,58,0.174412
N5K,3,59,0.080154
N5K,3,60,0.164830
N5K,3,61,0.203476
N5K,3,62,0.201404
N5K,9,0,
N5K,9,1,0.034150
N5K,9,2,0.108105
N5K,9,3,0.226267
N5K,9,4,0.140341
N5K,9,5,0.174616
N5K,9,6,0.199636
N5K,9,7,0.126674
N5K,9,8,0.211834
N5K,9,9,0.151314
N5K,9,10,0.103717
N5K,9,11,0.157905
N5K,9,12,0.220752
N5K,9,13,0.098745
N5K,9,14,0.176816
N5K,9,15,0.193011
N5K,9,16,0.207461
N5K,9,17,0.471361
N5K,9,18,0.159351
N5K,9,19,0.120741
N5K,9,20,0.163155
N5K,9,21,0.161352
N5K,9,22,0.103137
N5K,9,23,0.157402
N5K,9,24,0.086027
N5K,9,25,0.096203
N5K,9,26,0.176616
N5K,9,27,0.149669
N5K,9,28,0.122531
N5K,9,29,0.283936
N5K,9,30,0.164060
N5K,9,31,0.606192
N5K,9,32,0.023121
N5K,9,33,0.245677
N5K,9,34,0.146960
N5K,9,35,0.168243
N5K,9,36,0.133717
N5K,9,37,0.142801
N5K,9,38,0.088470
N5K,9,39,0.110503
N5K,9,40,0.203414
N5K,9,41,0.153982
N5K,9,42,0.223986
N5K,9,43,0.234129
N5K,9,44,0.183548
N5K,9,45,0.855393
N5K,9,46,0.090165
N5K,9,47,0.145720
N5K,9,48,0.079622
N5K,9,49,0.125757
N5K,9,50,0.136056
N5K,9,51,0.152937
N5K,9,52,0.081523
N5K,9,53,0.157850
N5K,9,54,0.136429
N5K,9,55,0.074930
N5K,9,56,0.146435
N5K,9,57,0.210442
N5K,9,58,0.111985
N5K,9,59,0.190911
N5K,9,60,0.197313
N5K,9,61,0.215638
N5K,9,62,0.110633
N5K,4,0,
N5K,4,1,0.262701
N5K,4,2,0.168032
N5K,4,3,0.130605
N5K,4,4,0.212715
N5K,4,5,0.223823
N5K,4,6,0.175379
N5K,4,7,0.194768
N5K,4,8,0.161794
N5K,4,9,0.096267
N5K,4,10,0.182139
N5K,4,11,0.282121
N5K,4,12,0.129901
N5K,4,13,0.263027
N5K,4,14,0.178335
N5K,4,15,0.247083
N5K,4,16,0.130853
N5K,4,17,0.663097
N5K,4,18,0.147497
N5K,4,19,0.262248
N5K,4,20,0.161946
N5K,4,21,0.208211
N5K,4,22,0.141139
N5K,4,23,0.191092
N5K,4,24,0.089182
N5K,4,25,0.094026
N5K,4,26,0.187668
N5K,4,27,0.208736
N5K,4,28,0.091115
N5K,4,29,0.218316
N5K,4,30,0.239972
N5K,4,31,0.228113
N5K,4,32,0.761715
N5K,4,33,0.136263
N5K,4,34,0.168081
N5K,4,35,0.113415
N5K,4,36,0.155777
N5K,4,37,0.191420
N5K,4,38,0.110461
N5K,4,39,0.097168
N5K,4,40,0.195884
N5K,4,41,0.177112
N5K,4,42,0.155255
N5K,4,43,0.196184
N5K,4,44,0.209286
N5K,4,45,0.206154
N5K,4,46,0.175399
N5K,4,47,0.872678
N5K,4,48,0.105415
N5K,4,49,0.157084
N5K,4,50,0.109385
N5K,4,51,0.109280
N5K,4,52,0.156121
N5K,4,53,0.161701
N5K,4,54,0.173453
N5K,4,55,0.187865
N5K,4,56,0.169453
N5K,4,57,0.200158
N5K,4,58,0.088414
N5K,4,59,0.251459
N5K,4,60,0.160726
N5K,4,61,0.193624
N5K,4,62,0.071469
N5K,5,0,
N5K,5,1,0.249413
N5K,5,2,0.208558
N5K,5,3,0.119698
N5K,5,4,0.229673
N5K,5,5,0.270667
N5K,5,6,0.196198
N5K,5,7,0.257384
N5K,5,8,0.156662
N5K,5,9,0.182682
N5K,5,10,0.261546
N5K,5,11,0.214627
N5K,5,12,0.231732
N5K,5,13,0.233109
N5K,5,14,0.318530
N5K,5,15,0.238177
N5K,5,16,0.671070
N5K,5,17,0.204282
N5K,5,18,0.254522
N5K,5,19,0.288661
N5K,5,20,0.273444
N5K,5,21,0.222556
N5K,5,22,0.282211
N5K,5,23,0.189391
N5K,5,24,0.151564
N5K,5,25,0.240884
N5K,5,26,0.282792
N5K,5,27,0.121966
N5K,5,28,0.233146
N5K,5,29,0.308053
N5K,5,30,0.304496
N5K,5,31,0.692734
N5K,5,32,0.116253
N5K,5,33,0.184305
N5K,5,34,0.129763
N5K,5,35,0.123489
N5K,5,36,0.171493
N5K,5,37,0.191574
N5K,5,38,0.150890
N5K,5,39,0.168022
N5K,5,40,0.177848
N5K,5,41,0.202461
N5K,5,42,0.209834
N5K,5,43,0.175580
N5K,5,44,0.232108
N5K,5,45,0.164959
N5K,5,46,0.679774
N5K,5,47,0.221934
N5K,5,48,0.169661
N5K,5,49,0.116626
N5K,5,50,0.192672
N5K,5,51,0.199902
N5K,5,52,0.181946
N5K,5,53,0.205607
N5K,5,54,0.113291
N5K,5,55,0.142857
N5K,5,56,0.205994
N5K,5,57,0.230640
N5K,5,58,0.176209
N5K,5,59,0.230462
N5K,5,60,0.163159
N5K,1,0,
N5K,1,1,0.131921
N5K,1,2,0.153027
N5K,1,3,0.087476
N5K,1,4,0.132421
N5K,1,5,0.128936
N5K,1,6,0.084659
N5K,1,7,0.083387
N5K,1,8,0.157265
N5K,1,9,0.102082
N5K,1,10,0.112994
N5K,1,11,0.140839
N5K,1,12,0.154791
N5K,1,13,0.100581
N5K,1,14,0.167304
N5K,1,15,0.225960
N5K,1,16,0.208165
N5K,1,17,0.554718
N5K,1,18,0.099051
N5K,1,19,0.133808
N5K,1,20,0.148492
N5K,1,21,0.129117
N5K,1,22,0.125001
N5K,1,23,0.132900
N5K,1,24,0.103619
N5K,1,25,0.083074
N5K,1,26,0.130347
N5K,1,27,0.193699
N5K,1,28,0.162147
N5K,1,29,0.170151
N5K,1,30,0.179442
N5K,1,31,0.079750
N5K,1,32,0.643727
N5K,1,33,0.147904
N5K,1,34,0.116951
N5K,1,35,0.084146
N5K,1,36,0.126647
N5K,1,37,0.157949
N5K,1,38,0.058183
N5K,1,39,0.131649
N5K,1,40,0.141056
N5K,1,41,0.149865
N5K,1,42,0.164655
N5K,1,43,0.116871
N5K,1,44,0.122318
N5K,1,45,0.135767
N5K,1,46,0.166989
N5K,1,47,0.119246
N5K,1,48,0.579727
N5K,1,49,0.172645
N5K,1,50,0.161483
N5K,1,51,0.083520
N5K,1,52,0.164083
N5K,1,53,0.181407
N5K,1,54,0.126211
N5K,1,55,0.175018
N5K,1,56,0.094833
N5K,1,57,0.113853
N5K,1,58,0.154542
N5K,1,59,0.146177
N5K,1,60,0.135228
N5K,1,61,0.125360
N5K,1,62,0.166470
N5K,1,63,0.133931
MTF,8,0,
MTF,8,1,0.054839
MTF,8,2,0.043096
MTF,8,3,0.098660
MTF,8,4,0.085393
MTF,8,5,0.031769
MTF,8,6,0.050851
MTF,8,7,0.094988
MTF,8,8,0.080729
MTF,8,9,0.084614
MTF,8,10,0.163484
MTF,8,11,0.221772
MTF,8,12,0.121683
MTF,8,13,0.158465
MTF,8,14,0.098172
MTF,8,15,0.123880
MTF,8,16,0.051640
MTF,8,17,0.122035
MTF,8,18,0.076085
MTF,8,19,0.163110
MTF,8,20,0.236749
MTF,8,21,0.300107
MTF,8,22,0.228643
MTF,8,23,0.048603
MTF,8,24,0.115727
MTF,8,25,0.135875
MTF,8,26,0.090805
MTF,8,27,0.105931
MTF,8,28,0.128434
MTF,8,29,0.079362
MTF,8,30,0.066500
MTF,8,31,0.138607
MTF,8,32,0.055684
MTF,8,33,0.175602
MTF,8,34,0.195011
MTF,8,35,0.151963
MTF,8,36,0.095728
MTF,8,37,0.268992
MTF,8,38,0.252126
MTF,8,39,0.080274
MTF,8,40,0.153898
MTF,8,41,0.082156
MTF,8,42,0.104946
MTF,8,43,0.110085
MTF,8,44,0.369145
MTF,8,45,0.148547
MTF,8,46,0.230161
MTF,8,47,0.132115
MTF,8,48,0.206076
MTF,8,49,0.199373
MTF,8,50,0.191264
MTF,8,51,0.148793
MTF,8,52,0.037830
MTF,8,53,0.246012
MTF,8,54,0.124866
MTF,8,55,0.179144
MTF,8,56,0.278755
MTF,8,57,0.051936
MTF,8,58,0.196079
MTF,8,59,0.159681
MTF,8,60,0.111870
MTF,8,61,0.149902
MTF,8,62,0.094908
MTF,8,63,0.130929
MTF,8,64,0.094620
MTF,8,65,0.246060
MTF,8,66,0.142004
MTF,8,67,0.192476
MTF,8,68,0.249549
MTF,8,69,0.169232
MTF,8,70,0.120373
MTF,8,71,0.077120
MTF,8,72,0.231041
MTF,8,73,0.171037
MTF,8,74,0.244198
MTF,8,75,0.291333
MTF,8,76,0.151569
MTF,8,77,0.227537
MTF,8,78,0.129720
MTF,8,79,0.080789
MTF,8,80,0.281585
MTF,8,81,0.148448
MTF,8,82,0.239026
MTF,8,83,0.117082
MTF,8,84,0.206113
MTF,8,85,0.185445
MTF,8,86,0.194211
MTF,8,87,0.089536
MTF,8,88,0.117226
MTF,8,89,0.169602
MTF,8,90,0.081339
MTF,8,91,0.109249
MTF,8,92,0.112119
MTF,8,93,0.067108
MTF,8,94,0.085579
MTF,8,95,0.213415
MTF,8,96,0.107456
MTF,8,97,0.107816
MTF,8,98,0.037989
MTF,8,99,0.208124
MTF,8,100,0.263970
MTF,8,101,0.156102
MTF,8,102,0.083237
MTF,8,103,0.163988
MTF,8,104,0.153484
MTF,8,105,0.186009
MTF,8,106,0.315239
MTF,8,107,0.474765
MTF,8,108,0.213428
MTF,8,109,0.458874
MTF,8,110,0.421250
MTF,8,111,0.179773
MTF,8,112,0.363490
MTF,8,113,0.239980
MTF,8,114,0.143711
MTF,8,115,0.282669
MTF,8,116,0.131235
MTF,8,117,0.195432
MTF,8,118,0.171154
MTF,8,119,0.195870
MTF,8,120,0.339656
MTF,8,121,0.196230
MTF,8,122,0.200373
MTF,8,123,0.314917
MTF,8,124,0.331689
MTF,8,125,0.112918
MTF,8,126,0.100693
MTF,8,127,0.076571
MTF,8,128,0.172127
MTF,8,129,0.337051
MTF,8,130,0.065355
MTF,8,131,0.142055
MTF,8,132,0.172564
MTF,8,133,0.101695
MTF,8,134,0.177607
MTF,8,135,0.273453
MTF,8,136,0.138627
MTF,8,137,0.199788
MTF,8,138,0.128278
MTF,8,139,0.074542
MTF,8,140,0.113266
MTF,8,141,0.120979
MTF,8,142,0.242307
MTF,8,143,0.069127
MTF,8,144,0.265887
MTF,8,145,0.324824
MTF,8,146,0.061976
MTF,8,147,0.353179
MTF,8,148,0.261570
MTF,8,149,0.253339
MTF,8,150,0.181142
MTF,8,151,0.324357
MTF,8,152,0.140094
MTF,8,153,0.226355
MTF,8,154,0.044744
MTF,8,155,0.208997
MTF,8,156,0.175696
MTF,8,157,0.136932
MTF,8,158,0.224980
MTF,8,159,0.203199
MTF,8,160,0.249405
MTF,8,161,0.218487
MTF,8,162,0.245452
MTF,8,163,0.109861
MTF,8,164,0.304183
MTF,8,165,0.046519
MTF,8,166,0.231163
MTF,8,167,0.100990
MTF,8,168,0.152904
MTF,8,169,0.132290
MTF,8,170,0.197244
MTF,8,171,0.117540
MTF,8,172,0.178949
MTF,8,173,0.249208
MTF,8,174,0.056920
MTF,8,175,0.346911
MTF,8,176,0.230464
MTF,8,177,0.228179
MTF,8,178,0.442053
MTF,8,179,0.309559
MTF,8,180,0.241606
MTF,8,181,0.089481
MTF,8,182,0.026542
MTF,8,183,0.241999
MTF,8,184,0.244458
MTF,8,185,0.354153
MTF,8,186,0.312119
MTF,8,187,0.356438
MTF,8,188,0.283787
MTF,8,189,0.334018
MTF,8,190,0.144494
MTF,8,191,0.128660
MTF,8,192,0.141495
MTF,8,193,0.112435
MTF,8,194,0.057868
MTF,8,195,0.085805
MTF,8,196,0.147150
MTF,8,197,0.072100
MTF,8,198,0.162901
MTF,8,199,0.304137
MTF,6,0,
MTF,6,1,0.081344
MTF,6,2,0.037246
MTF,6,3,0.117125
MTF,6,4,0.139309
MTF,6,5,0.113458
MTF,6,6,0.067149
MTF,6,7,0.185065
MTF,6,8,0.178115
MTF,6,9,0.282208
MTF,6,10,0.332209
MTF,6,11,0.317764
MTF,6,12,0.331908
MTF,6,13,0.178729
MTF,6,14,0.268461
MTF,6,15,0.281730
MTF,6,16,0.346625
MTF,6,17,0.329315
MTF,6,18,0.154336
MTF,6,19,0.138975
MTF,6,20,0.117650
MTF,6,21,0.097610
MTF,6,22,0.106369
MTF,6,23,0.102962
MTF,6,24,0.090258
MTF,6,25,0.270791
MTF,6,26,0.311482
MTF,6,27,0.378088
MTF,6,28,0.231221
MTF,6,29,0.180649
MTF,6,30,0.376164
MTF,6,31,0.158815
MTF,6,32,0.161643
MTF,6,33,0.155531
MTF,6,34,0.315917
MTF,6,35,0.305147
MTF,6,36,0.287433
MTF,6,37,0.163034
MTF,6,38,0.256254
MTF,6,39,0.125838
MTF,6,40,0.210324
MTF,6,41,0.157457
MTF,6,42,0.461494
MTF,6,43,0.314801
MTF,6,44,0.094101
MTF,6,45,0.138754
MTF,6,46,0.161454
MTF,6,47,0.107297
MTF,6,48,0.077307
MTF,6,49,0.249232
MTF,6,50,0.245716
MTF,6,51,0.089481
MTF,6,52,0.295291
MTF,6,53,0.230922
MTF,6,54,0.352454
MTF,6,55,0.170024
MTF,6,56,0.183197
MTF,6,57,0.250754
MTF,6,58,0.212766
MTF,6,59,0.189014
MTF,6,60,0.147831
MTF,6,61,0.095037
MTF,6,62,0.164096
MTF,6,63,0.343594
MTF,6,64,0.244203
MTF,6,65,0.062336
MTF,6,66,0.056691
MTF,6,67,0.237538
MTF,6,68,0.117890
MTF,6,69,0.145164
MTF,6,70,0.251127
MTF,6,71,0.299190
MTF,6,72,0.356446
MTF,6,73,0.518181
MTF,6,74,0.215510
MTF,6,75,0.155801
MTF,6,76,0.130266
MTF,6,77,0.084464
MTF,6,78,0.252453
MTF,6,79,0.227468
MTF,6,80,0.313863
MTF,6,81,0.302931
MTF,6,82,0.152839
MTF,6,83,0.255330
MTF,6,84,0.264682
MTF,6,85,0.298763
MTF,6,86,0.138327
MTF,6,87,0.116780
MTF,6,88,0.173255
MTF,6,89,0.257858
MTF,6,90,0.229900
MTF,6,91,0.183487
MTF,6,92,0.226841
MTF,6,93,0.258039
MTF,6,94,0.339454
MTF,6,95,0.075764
MTF,6,96,0.148660
MTF,6,97,0.270385
MTF,6,98,0.347315
MTF,6,99,0.297699
MTF,6,100,0.213888
MTF,6,101,0.260799
MTF,6,102,0.221122
MTF,6,103,0.302201
MTF,6,104,0.146146
MTF,6,105,0.125772
MTF,6,106,0.099759
MTF,6,107,0.140157
MTF,6,108,0.240166
MTF,6,109,0.232851
MTF,6,110,0.156573
MTF,6,111,0.090108
MTF,6,112,0.143531
MTF,6,113,0.031682
MTF,6,114,0.190456
MTF,6,115,0.209926
MTF,6,116,0.223059
MTF,6,117,0.302589
MTF,6,118,0.184710
MTF,6,119,0.161871
MTF,6,120,0.390904
MTF,6,121,0.084132
MTF,6,122,0.201048
MTF,6,123,0.134711
MTF,6,124,0.179674
MTF,6,125,0.204439
MTF,6,126,0.230229
MTF,6,127,0.182447
MTF,6,128,0.216367
MTF,6,129,0.363044
MTF,6,130,0.269310
MTF,6,131,0.297304
MTF,6,132,0.151470
MTF,6,133,0.196403
MTF,6,134,0.279947
MTF,6,135,0.458165
MTF,6,136,0.378482
MTF,6,137,0.219939
MTF,6,138,0.088035
MTF,6,139,0.177986
MTF,6,140,0.200266
MTF,6,141,0.315712
MTF,6,142,0.275175
MTF,6,143,0.274608
MTF,6,144,0.197815
MTF,6,145,0.237867
MTF,6,146,0.389622
MTF,6,147,0.252353
MTF,6,148,0.092607
MTF,6,149,0.214133
MTF,6,150,0.205654
MTF,6,151,0.187644
MTF,6,152,0.160891
MTF,6,153,0.092304
MTF,6,154,0.166483
MTF,6,155,0.129554
MTF,6,156,0.187042
MTF,6,157,0.112731
MTF,6,158,0.196207
MTF,6,159,0.122308
MTF,6,160,0.096579
MTF,6,161,0.105186
MTF,6,162,0.167562
MTF,6,163,0.151855
MTF,6,164,0.161879
MTF,6,165,0.209616
MTF,6,166,0.306208
MTF,6,167,0.150465
MTF,6,168,0.091348
MTF,6,169,0.174167
MTF,6,170,0.167104
MTF,6,171,0.127326
MTF,6,172,0.288079
MTF,6,173,0.377492
MTF,6,174,0.088370
MTF,6,175,0.073291
MTF,6,176,0.266938
MTF,6,177,0.244758
MTF,6,178,0.164636
MTF,6,179,0.133420
MTF,6,180,0.309970
MTF,6,181,0.282055
MTF,6,182,0.077237
MTF,6,183,0.348612
MTF,6,184,0.411155
MTF,6,185,0.328879
MTF,6,186,0.220732
MTF,6,187,0.145389
MTF,6,188,0.136165
MTF,6,189,0.148436
MTF,6,190,0.164408
MTF,6,191,0.107572
MTF,6,192,0.159721
MTF,6,193,0.220252
MTF,6,194,0.257017
MTF,6,195,0.106889
MTF,6,196,0.097258
MTF,6,197,0.071377
MTF,6,198,0.166190
MTF,6,199,0.421665
MTF,7,0,
MTF,7,1,0.070054
MTF,7,2,0.100129
MTF,7,3,0.100128
MTF,7,4,0.068446
MTF,7,5,0.063386
MTF,7,6,0.087448
MTF,7,7,0.158372
MTF,7,8,0.203078
MTF,7,9,0.318073
MTF,7,10,0.308706
MTF,7,11,0.481294
MTF,7,12,0.541713
MTF,7,13,0.537617
MTF,7,14,0.586054
MTF,7,15,0.501169
MTF,7,16,0.403923
MTF,7,17,0.285874
MTF,7,18,0.486789
MTF,7,19,0.618298
MTF,7,20,0.456793
MTF,7,21,0.394471
MTF,7,22,0.196194
MTF,7,23,0.066432
MTF,7,24,0.278092
MTF,7,25,0.277302
MTF,7,26,0.078521
MTF,7,27,0.164500
MTF,7,28,0.333869
MTF,7,29,0.450156
MTF,7,30,0.205883
MTF,7,31,0.417433
MTF,7,32,0.358613
MTF,7,33,0.333901
MTF,7,34,0.415493
MTF,7,35,0.187392
MTF,7,36,0.366862
MTF,7,37,0.546904
MTF,7,38,0.595772
MTF,7,39,0.503007
MTF,7,40,0.504210
MTF,7,41,0.312261
MTF,7,42,0.292880
MTF,7,43,0.207630
MTF,7,44,0.112143
MTF,7,45,0.348288
MTF,7,46,0.446459
MTF,7,47,0.405354
MTF,7,48,0.415538
MTF,7,49,0.324161
MTF,7,50,0.313328
MTF,7,51,0.363670
MTF,7,52,0.358901
MTF,7,53,0.341051
MTF,7,54,0.218470
MTF,7,55,0.151466
MTF,7,56,0.164382
MTF,7,57,0.224618
